Duration,Country,Year,NumTrips
From 1 to 3 nights,Albania,2017,2689813
From 1 to 3 nights,Albania,2019,3100299
From 1 to 3 nights,Albania,2020,1985343
From 1 to 3 nights,Austria,2012,8595366
From 1 to 3 nights,Austria,2013,9038213
From 1 to 3 nights,Austria,2014,9559279
From 1 to 3 nights,Austria,2015,9184641
From 1 to 3 nights,Austria,2016,10100129
From 1 to 3 nights,Austria,2017,9985891
From 1 to 3 nights,Austria,2018,10648099
From 1 to 3 nights,Austria,2019,11323859
From 1 to 3 nights,Austria,2020,7640449
From 1 to 3 nights,Austria,2021,8776704
From 1 to 3 nights,Austria,2022,13963868
From 1 to 3 nights,Austria,2023,14415769
From 1 to 3 nights,Belgium,2012,3646602
From 1 to 3 nights,Belgium,2013,4295129
From 1 to 3 nights,Belgium,2014,4320681
From 1 to 3 nights,Belgium,2015,5268669
From 1 to 3 nights,Belgium,2016,5442459
From 1 to 3 nights,Belgium,2017,5673199
From 1 to 3 nights,Belgium,2018,6206788
From 1 to 3 nights,Belgium,2019,6707869
From 1 to 3 nights,Belgium,2020,3703299
From 1 to 3 nights,Belgium,2021,5354465
From 1 to 3 nights,Belgium,2022,6794582
From 1 to 3 nights,Belgium,2023,7355129
From 1 to 3 nights,Bulgaria,2012,2076532
From 1 to 3 nights,Bulgaria,2013,2039729
From 1 to 3 nights,Bulgaria,2014,2045795
From 1 to 3 nights,Bulgaria,2015,1555242
From 1 to 3 nights,Bulgaria,2016,1746019
From 1 to 3 nights,Bulgaria,2017,2915297
From 1 to 3 nights,Bulgaria,2018,2619509
From 1 to 3 nights,Bulgaria,2019,2551899
From 1 to 3 nights,Bulgaria,2020,1267891
From 1 to 3 nights,Bulgaria,2021,1735923
From 1 to 3 nights,Bulgaria,2022,2165835
From 1 to 3 nights,Bulgaria,2023,2353394
From 1 to 3 nights,Croatia,2012,4082385
From 1 to 3 nights,Croatia,2013,4190195
From 1 to 3 nights,Croatia,2014,3890091
From 1 to 3 nights,Croatia,2015,2778748
From 1 to 3 nights,Croatia,2016,1959133
From 1 to 3 nights,Croatia,2017,1991587
From 1 to 3 nights,Croatia,2018,2191826
From 1 to 3 nights,Croatia,2019,2748797
From 1 to 3 nights,Croatia,2020,1457580
From 1 to 3 nights,Croatia,2021,1751663
From 1 to 3 nights,Croatia,2022,2045876
From 1 to 3 nights,Croatia,2023,2618915
From 1 to 3 nights,Cyprus,2012,1232492
From 1 to 3 nights,Cyprus,2013,1051445
From 1 to 3 nights,Cyprus,2014,1111090
From 1 to 3 nights,Cyprus,2015,1239566
From 1 to 3 nights,Cyprus,2016,1297550
From 1 to 3 nights,Cyprus,2017,1402370
From 1 to 3 nights,Cyprus,2018,1584786
From 1 to 3 nights,Cyprus,2019,1666675
From 1 to 3 nights,Cyprus,2020,1533144
From 1 to 3 nights,Cyprus,2021,1662887
From 1 to 3 nights,Cyprus,2022,1607373
From 1 to 3 nights,Cyprus,2023,1594957
From 1 to 3 nights,Czechia,2012,19679409
From 1 to 3 nights,Czechia,2013,18326261
From 1 to 3 nights,Czechia,2014,19708974
From 1 to 3 nights,Czechia,2015,17441143
From 1 to 3 nights,Czechia,2016,18977831
From 1 to 3 nights,Czechia,2017,21390393
From 1 to 3 nights,Czechia,2018,20301161
From 1 to 3 nights,Czechia,2019,19970288
From 1 to 3 nights,Czechia,2020,13360538
From 1 to 3 nights,Czechia,2021,14989829
From 1 to 3 nights,Czechia,2022,18773218
From 1 to 3 nights,Czechia,2023,14594810
From 1 to 3 nights,Denmark,2012,18870153
From 1 to 3 nights,Denmark,2013,21570785
From 1 to 3 nights,Denmark,2014,22110771
From 1 to 3 nights,Denmark,2015,22214379
From 1 to 3 nights,Denmark,2016,19908207
From 1 to 3 nights,Denmark,2017,15818637
From 1 to 3 nights,Denmark,2018,7586594
From 1 to 3 nights,Denmark,2019,15093224
From 1 to 3 nights,Denmark,2020,12813652
From 1 to 3 nights,Denmark,2021,9549761
From 1 to 3 nights,Denmark,2022,9776544
From 1 to 3 nights,Denmark,2023,9437751
From 1 to 3 nights,Estonia,2012,1813285
From 1 to 3 nights,Estonia,2013,1781794
From 1 to 3 nights,Estonia,2014,2533287
From 1 to 3 nights,Estonia,2015,2515832
From 1 to 3 nights,Estonia,2016,2992551
From 1 to 3 nights,Estonia,2017,3018772
From 1 to 3 nights,Estonia,2018,4330497
From 1 to 3 nights,Estonia,2019,3314333
From 1 to 3 nights,Estonia,2020,1897061
From 1 to 3 nights,Estonia,2021,1913134
From 1 to 3 nights,Estonia,2022,2529353
From 1 to 3 nights,Estonia,2023,3067022
From 1 to 3 nights,European Union - 27 countries (from 2020),2012,523580999
From 1 to 3 nights,European Union - 27 countries (from 2020),2013,514185889
From 1 to 3 nights,European Union - 27 countries (from 2020),2014,510286914
From 1 to 3 nights,European Union - 27 countries (from 2020),2015,517889042
From 1 to 3 nights,European Union - 27 countries (from 2020),2016,528680409
From 1 to 3 nights,European Union - 27 countries (from 2020),2017,545683144
From 1 to 3 nights,European Union - 27 countries (from 2020),2018,550150209
From 1 to 3 nights,European Union - 27 countries (from 2020),2019,556757963
From 1 to 3 nights,European Union - 27 countries (from 2020),2020,375782734
From 1 to 3 nights,European Union - 27 countries (from 2020),2021,464831772
From 1 to 3 nights,European Union - 27 countries (from 2020),2022,534387983
From 1 to 3 nights,European Union - 27 countries (from 2020),2023,564601297
From 1 to 3 nights,Finland,2012,25020682
From 1 to 3 nights,Finland,2013,24801381
From 1 to 3 nights,Finland,2014,23460842
From 1 to 3 nights,Finland,2015,24042202
From 1 to 3 nights,Finland,2016,24184077
From 1 to 3 nights,Finland,2017,24956040
From 1 to 3 nights,Finland,2018,23410189
From 1 to 3 nights,Finland,2019,22844415
From 1 to 3 nights,Finland,2020,15440571
From 1 to 3 nights,Finland,2021,20287639
From 1 to 3 nights,Finland,2022,18947677
From 1 to 3 nights,Finland,2023,17872110
From 1 to 3 nights,France,2012,105949227
From 1 to 3 nights,France,2013,104653851
From 1 to 3 nights,France,2014,105556338
From 1 to 3 nights,France,2015,93780902
From 1 to 3 nights,France,2016,91863468
From 1 to 3 nights,France,2017,105328361
From 1 to 3 nights,France,2018,103640594
From 1 to 3 nights,France,2019,104615656
From 1 to 3 nights,France,2020,79782502
From 1 to 3 nights,France,2021,102691073
From 1 to 3 nights,France,2022,116030426
From 1 to 3 nights,France,2023,125716060
From 1 to 3 nights,Germany,2012,98784720
From 1 to 3 nights,Germany,2013,102251230
From 1 to 3 nights,Germany,2014,94029597
From 1 to 3 nights,Germany,2015,104888560
From 1 to 3 nights,Germany,2016,104198690
From 1 to 3 nights,Germany,2017,93988468
From 1 to 3 nights,Germany,2018,101447632
From 1 to 3 nights,Germany,2019,101923223
From 1 to 3 nights,Germany,2020,64842757
From 1 to 3 nights,Germany,2021,79678873
From 1 to 3 nights,Germany,2022,82302228
From 1 to 3 nights,Germany,2023,94834922
From 1 to 3 nights,Greece,2012,2749255
From 1 to 3 nights,Greece,2013,1425062
From 1 to 3 nights,Greece,2014,1693928
From 1 to 3 nights,Greece,2015,1579747
From 1 to 3 nights,Greece,2016,1433087
From 1 to 3 nights,Greece,2017,1570122
From 1 to 3 nights,Greece,2018,1680329
From 1 to 3 nights,Greece,2019,1457995
From 1 to 3 nights,Greece,2020,1215529
From 1 to 3 nights,Greece,2021,1285040
From 1 to 3 nights,Greece,2022,1777167
From 1 to 3 nights,Greece,2023,1613668
From 1 to 3 nights,Hungary,2012,11822319
From 1 to 3 nights,Hungary,2013,9961409
From 1 to 3 nights,Hungary,2014,11033501
From 1 to 3 nights,Hungary,2015,11542092
From 1 to 3 nights,Hungary,2016,11700993
From 1 to 3 nights,Hungary,2017,12043639
From 1 to 3 nights,Hungary,2018,11956832
From 1 to 3 nights,Hungary,2019,12175405
From 1 to 3 nights,Hungary,2020,6524124
From 1 to 3 nights,Hungary,2021,7156127
From 1 to 3 nights,Hungary,2022,9941325
From 1 to 3 nights,Hungary,2023,9983944
From 1 to 3 nights,Ireland,2012,6430330
From 1 to 3 nights,Ireland,2013,6467195
From 1 to 3 nights,Ireland,2014,6790316
From 1 to 3 nights,Ireland,2015,6985478
From 1 to 3 nights,Ireland,2016,7228071
From 1 to 3 nights,Ireland,2017,8012920
From 1 to 3 nights,Ireland,2018,9088162
From 1 to 3 nights,Ireland,2019,9425024
From 1 to 3 nights,Ireland,2020,5257325
From 1 to 3 nights,Ireland,2021,3877531
From 1 to 3 nights,Ireland,2022,10685726
From 1 to 3 nights,Ireland,2023,10849933
From 1 to 3 nights,Italy,2012,26286323
From 1 to 3 nights,Italy,2013,19997694
From 1 to 3 nights,Italy,2014,22134614
From 1 to 3 nights,Italy,2015,21392604
From 1 to 3 nights,Italy,2016,25424548
From 1 to 3 nights,Italy,2017,24060688
From 1 to 3 nights,Italy,2018,29007244
From 1 to 3 nights,Italy,2019,24704083
From 1 to 3 nights,Italy,2020,13395761
From 1 to 3 nights,Italy,2021,12637620
From 1 to 3 nights,Italy,2022,18212942
From 1 to 3 nights,Italy,2023,16791244
From 1 to 3 nights,Latvia,2012,3772198
From 1 to 3 nights,Latvia,2013,3099854
From 1 to 3 nights,Latvia,2014,3144005
From 1 to 3 nights,Latvia,2015,3043094
From 1 to 3 nights,Latvia,2016,3223912
From 1 to 3 nights,Latvia,2017,3084980
From 1 to 3 nights,Latvia,2018,2803886
From 1 to 3 nights,Latvia,2019,2681372
From 1 to 3 nights,Latvia,2020,1271013
From 1 to 3 nights,Latvia,2021,2171560
From 1 to 3 nights,Latvia,2022,2977502
From 1 to 3 nights,Latvia,2023,3106175
From 1 to 3 nights,Lithuania,2012,2238041
From 1 to 3 nights,Lithuania,2013,2221233
From 1 to 3 nights,Lithuania,2014,2289727
From 1 to 3 nights,Lithuania,2015,2339706
From 1 to 3 nights,Lithuania,2016,2277168
From 1 to 3 nights,Lithuania,2017,2250528
From 1 to 3 nights,Lithuania,2018,2380047
From 1 to 3 nights,Lithuania,2019,2563132
From 1 to 3 nights,Lithuania,2020,1915471
From 1 to 3 nights,Lithuania,2021,2495724
From 1 to 3 nights,Lithuania,2022,3081135
From 1 to 3 nights,Lithuania,2023,3369638
From 1 to 3 nights,Luxembourg,2012,514979
From 1 to 3 nights,Luxembourg,2013,539578
From 1 to 3 nights,Luxembourg,2014,623587
From 1 to 3 nights,Luxembourg,2015,564541
From 1 to 3 nights,Luxembourg,2016,465197
From 1 to 3 nights,Luxembourg,2017,718325
From 1 to 3 nights,Luxembourg,2018,788572
From 1 to 3 nights,Luxembourg,2019,844277
From 1 to 3 nights,Luxembourg,2020,557927
From 1 to 3 nights,Luxembourg,2021,672855
From 1 to 3 nights,Luxembourg,2022,965165
From 1 to 3 nights,Luxembourg,2023,1131431
From 1 to 3 nights,Malta,2012,212476
From 1 to 3 nights,Malta,2013,223461
From 1 to 3 nights,Malta,2014,222967
From 1 to 3 nights,Malta,2015,233611
From 1 to 3 nights,Malta,2016,331509
From 1 to 3 nights,Malta,2017,313070
From 1 to 3 nights,Malta,2018,320405
From 1 to 3 nights,Malta,2019,333649
From 1 to 3 nights,Malta,2020,331023
From 1 to 3 nights,Malta,2021,356607
From 1 to 3 nights,Malta,2022,422290
From 1 to 3 nights,Malta,2023,533439
From 1 to 3 nights,Montenegro,2016,723346
From 1 to 3 nights,Montenegro,2017,706158
From 1 to 3 nights,Netherlands,2012,23134196
From 1 to 3 nights,Netherlands,2013,20988168
From 1 to 3 nights,Netherlands,2014,20435230
From 1 to 3 nights,Netherlands,2015,19620751
From 1 to 3 nights,Netherlands,2016,19751760
From 1 to 3 nights,Netherlands,2017,20136993
From 1 to 3 nights,Netherlands,2018,19193286
From 1 to 3 nights,Netherlands,2019,19959513
From 1 to 3 nights,Netherlands,2020,13923529
From 1 to 3 nights,Netherlands,2021,23597452
From 1 to 3 nights,Netherlands,2022,19211353
From 1 to 3 nights,Netherlands,2023,20337526
From 1 to 3 nights,North Macedonia,2019,182440
From 1 to 3 nights,North Macedonia,2020,169529
From 1 to 3 nights,North Macedonia,2021,195017
From 1 to 3 nights,Norway,2013,8604374
From 1 to 3 nights,Norway,2014,10462995
From 1 to 3 nights,Norway,2015,9714487
From 1 to 3 nights,Norway,2016,9502715
From 1 to 3 nights,Norway,2017,9848941
From 1 to 3 nights,Norway,2018,13987942
From 1 to 3 nights,Norway,2021,13099708
From 1 to 3 nights,Norway,2022,14836593
From 1 to 3 nights,Norway,2023,14466012
From 1 to 3 nights,Poland,2012,25254782
From 1 to 3 nights,Poland,2013,24455021
From 1 to 3 nights,Poland,2014,24050453
From 1 to 3 nights,Poland,2015,25071994
From 1 to 3 nights,Poland,2016,27279217
From 1 to 3 nights,Poland,2017,28679723
From 1 to 3 nights,Poland,2018,29675992
From 1 to 3 nights,Poland,2019,30851597
From 1 to 3 nights,Poland,2020,22591383
From 1 to 3 nights,Poland,2021,26661090
From 1 to 3 nights,Poland,2022,30548694
From 1 to 3 nights,Poland,2023,31569721
From 1 to 3 nights,Portugal,2012,8961655
From 1 to 3 nights,Portugal,2013,9074999
From 1 to 3 nights,Portugal,2014,9293124
From 1 to 3 nights,Portugal,2015,9796315
From 1 to 3 nights,Portugal,2016,10258475
From 1 to 3 nights,Portugal,2017,11165181
From 1 to 3 nights,Portugal,2018,11609275
From 1 to 3 nights,Portugal,2019,12745557
From 1 to 3 nights,Portugal,2020,7392833
From 1 to 3 nights,Portugal,2021,8835191
From 1 to 3 nights,Portugal,2022,11829850
From 1 to 3 nights,Portugal,2023,12475913
From 1 to 3 nights,Romania,2012,9704733
From 1 to 3 nights,Romania,2013,10401100
From 1 to 3 nights,Romania,2014,10331810
From 1 to 3 nights,Romania,2015,10146026
From 1 to 3 nights,Romania,2016,10597470
From 1 to 3 nights,Romania,2017,11147282
From 1 to 3 nights,Romania,2018,11137093
From 1 to 3 nights,Romania,2019,11140527
From 1 to 3 nights,Romania,2020,7040897
From 1 to 3 nights,Romania,2021,10481676
From 1 to 3 nights,Romania,2022,10894022
From 1 to 3 nights,Romania,2023,12914818
From 1 to 3 nights,Serbia,2018,723867
From 1 to 3 nights,Slovakia,2012,2322293
From 1 to 3 nights,Slovakia,2013,2986815
From 1 to 3 nights,Slovakia,2014,3485754
From 1 to 3 nights,Slovakia,2015,3814796
From 1 to 3 nights,Slovakia,2016,4939045
From 1 to 3 nights,Slovakia,2017,5483276
From 1 to 3 nights,Slovakia,2018,6196486
From 1 to 3 nights,Slovakia,2019,6737347
From 1 to 3 nights,Slovakia,2020,3348412
From 1 to 3 nights,Slovakia,2021,3624130
From 1 to 3 nights,Slovakia,2022,6115853
From 1 to 3 nights,Slovakia,2023,6541330
From 1 to 3 nights,Slovenia,2012,2490441
From 1 to 3 nights,Slovenia,2013,2676826
From 1 to 3 nights,Slovenia,2014,2579844
From 1 to 3 nights,Slovenia,2015,2225445
From 1 to 3 nights,Slovenia,2016,2322693
From 1 to 3 nights,Slovenia,2017,2693797
From 1 to 3 nights,Slovenia,2018,2754087
From 1 to 3 nights,Slovenia,2019,2567170
From 1 to 3 nights,Slovenia,2020,1221732
From 1 to 3 nights,Slovenia,2021,3167566
From 1 to 3 nights,Slovenia,2022,3122681
From 1 to 3 nights,Slovenia,2023,4437424
From 1 to 3 nights,Spain,2012,86453206
From 1 to 3 nights,Spain,2013,84614036
From 1 to 3 nights,Spain,2014,83086699
From 1 to 3 nights,Spain,2015,91367973
From 1 to 3 nights,Spain,2016,95850185
From 1 to 3 nights,Spain,2017,102557523
From 1 to 3 nights,Spain,2018,103008059
From 1 to 3 nights,Spain,2019,101263206
From 1 to 3 nights,Spain,2020,52366050
From 1 to 3 nights,Spain,2021,75290066
From 1 to 3 nights,Spain,2022,89089665
From 1 to 3 nights,Spain,2023,92031450
From 1 to 3 nights,Sweden,2014,20764611
From 1 to 3 nights,Sweden,2015,23254985
From 1 to 3 nights,Sweden,2016,22926968
From 1 to 3 nights,Sweden,2017,25296084
From 1 to 3 nights,Sweden,2018,24582777
From 1 to 3 nights,Sweden,2019,24547873
From 1 to 3 nights,Sweden,2020,33690280
From 1 to 3 nights,Sweden,2021,34129588
From 1 to 3 nights,Sweden,2022,40575632
From 1 to 3 nights,Switzerland,2012,7129625
From 1 to 3 nights,Switzerland,2013,8436917
From 1 to 3 nights,Switzerland,2014,7637876
From 1 to 3 nights,Switzerland,2015,8419555
From 1 to 3 nights,Switzerland,2016,7775806
From 1 to 3 nights,Switzerland,2017,8597763
From 1 to 3 nights,Switzerland,2018,8417340
From 1 to 3 nights,Switzerland,2019,7699653
From 1 to 3 nights,Switzerland,2020,5690444
From 1 to 3 nights,Switzerland,2021,5883697
From 1 to 3 nights,Switzerland,2022,7061064
1 night or over,Albania,2017,4093342
1 night or over,Albania,2019,5088307
1 night or over,Albania,2020,3170057
1 night or over,Austria,2012,18001628
1 night or over,Austria,2013,18239891
1 night or over,Austria,2014,18340796
1 night or over,Austria,2015,17907562
1 night or over,Austria,2016,19682970
1 night or over,Austria,2017,19600944
1 night or over,Austria,2018,20262208
1 night or over,Austria,2019,21207526
1 night or over,Austria,2020,12653530
1 night or over,Austria,2021,16143182
1 night or over,Austria,2022,25024565
1 night or over,Austria,2023,27011515
1 night or over,Belgium,2012,10158987
1 night or over,Belgium,2013,12211145
1 night or over,Belgium,2014,12067008
1 night or over,Belgium,2015,12872666
1 night or over,Belgium,2016,14617157
1 night or over,Belgium,2017,13951289
1 night or over,Belgium,2018,15499574
1 night or over,Belgium,2019,16840325
1 night or over,Belgium,2020,8722366
1 night or over,Belgium,2021,12036481
1 night or over,Belgium,2022,16934367
1 night or over,Belgium,2023,17915979
1 night or over,Bulgaria,2012,3423764
1 night or over,Bulgaria,2013,3742658
1 night or over,Bulgaria,2014,3578596
1 night or over,Bulgaria,2015,2914114
1 night or over,Bulgaria,2016,3419777
1 night or over,Bulgaria,2017,5267997
1 night or over,Bulgaria,2018,4888958
1 night or over,Bulgaria,2019,4738598
1 night or over,Bulgaria,2020,2411954
1 night or over,Bulgaria,2021,3061759
1 night or over,Bulgaria,2022,4140706
1 night or over,Bulgaria,2023,4625663
1 night or over,Croatia,2012,7284473
1 night or over,Croatia,2013,7709380
1 night or over,Croatia,2014,6649823
1 night or over,Croatia,2015,5653498
1 night or over,Croatia,2016,3757674
1 night or over,Croatia,2017,4057749
1 night or over,Croatia,2018,4331636
1 night or over,Croatia,2019,5125886
1 night or over,Croatia,2020,2787061
1 night or over,Croatia,2021,3553325
1 night or over,Croatia,2022,4042206
1 night or over,Croatia,2023,5006498
1 night or over,Cyprus,2012,2283614
1 night or over,Cyprus,2013,2172985
1 night or over,Cyprus,2014,2270230
1 night or over,Cyprus,2015,2197131
1 night or over,Cyprus,2016,2379840
1 night or over,Cyprus,2017,2514958
1 night or over,Cyprus,2018,2742619
1 night or over,Cyprus,2019,2876725
1 night or over,Cyprus,2020,2073038
1 night or over,Cyprus,2021,2249002
1 night or over,Cyprus,2022,2730615
1 night or over,Cyprus,2023,2969329
1 night or over,Czechia,2012,31406312
1 night or over,Czechia,2013,29608213
1 night or over,Czechia,2014,31442035
1 night or over,Czechia,2015,28731506
1 night or over,Czechia,2016,31607474
1 night or over,Czechia,2017,34413101
1 night or over,Czechia,2018,33174826
1 night or over,Czechia,2019,33484994
1 night or over,Czechia,2020,22635926
1 night or over,Czechia,2021,25415885
1 night or over,Czechia,2022,32086388
1 night or over,Czechia,2023,27098050
1 night or over,Denmark,2012,26443296
1 night or over,Denmark,2013,29281207
1 night or over,Denmark,2014,30211808
1 night or over,Denmark,2015,30118473
1 night or over,Denmark,2016,27320116
1 night or over,Denmark,2017,23658365
1 night or over,Denmark,2018,15262792
1 night or over,Denmark,2019,26018826
1 night or over,Denmark,2020,19504887
1 night or over,Denmark,2021,14854001
1 night or over,Denmark,2022,16276151
1 night or over,Denmark,2023,16080571
1 night or over,Estonia,2012,2513880
1 night or over,Estonia,2013,2449846
1 night or over,Estonia,2014,3285966
1 night or over,Estonia,2015,3293653
1 night or over,Estonia,2016,3743081
1 night or over,Estonia,2017,3830927
1 night or over,Estonia,2018,5520344
1 night or over,Estonia,2019,4376654
1 night or over,Estonia,2020,2366437
1 night or over,Estonia,2021,2499215
1 night or over,Estonia,2022,3337308
1 night or over,Estonia,2023,4099544
1 night or over,European Union - 27 countries (from 2020),2012,925601849
1 night or over,European Union - 27 countries (from 2020),2013,920854978
1 night or over,European Union - 27 countries (from 2020),2014,912193104
1 night or over,European Union - 27 countries (from 2020),2015,911695636
1 night or over,European Union - 27 countries (from 2020),2016,936620258
1 night or over,European Union - 27 countries (from 2020),2017,974851942
1 night or over,European Union - 27 countries (from 2020),2018,1005882648
1 night or over,European Union - 27 countries (from 2020),2019,1014172264
1 night or over,European Union - 27 countries (from 2020),2020,652081790
1 night or over,European Union - 27 countries (from 2020),2021,804399985
1 night or over,European Union - 27 countries (from 2020),2022,976628947
1 night or over,European Union - 27 countries (from 2020),2023,1032804824
1 night or over,Finland,2012,33897695
1 night or over,Finland,2013,33551261
1 night or over,Finland,2014,32270880
1 night or over,Finland,2015,32981505
1 night or over,Finland,2016,33206047
1 night or over,Finland,2017,33997694
1 night or over,Finland,2018,33093970
1 night or over,Finland,2019,33082843
1 night or over,Finland,2020,23336399
1 night or over,Finland,2021,29246905
1 night or over,Finland,2022,29755346
1 night or over,Finland,2023,27496056
1 night or over,France,2012,203184738
1 night or over,France,2013,203602292
1 night or over,France,2014,205903787
1 night or over,France,2015,183110642
1 night or over,France,2016,179613679
1 night or over,France,2017,196173554
1 night or over,France,2018,196114914
1 night or over,France,2019,193354601
1 night or over,France,2020,147988211
1 night or over,France,2021,181771179
1 night or over,France,2022,206169571
1 night or over,France,2023,217636261
1 night or over,Germany,2012,199765991
1 night or over,Germany,2013,207226639
1 night or over,Germany,2014,197188861
1 night or over,Germany,2015,210083293
1 night or over,Germany,2016,213495421
1 night or over,Germany,2017,202296144
1 night or over,Germany,2018,225708302
1 night or over,Germany,2019,219584535
1 night or over,Germany,2020,126363886
1 night or over,Germany,2021,156531167
1 night or over,Germany,2022,191695483
1 night or over,Germany,2023,216368017
1 night or over,Greece,2012,6778200
1 night or over,Greece,2013,5162644
1 night or over,Greece,2014,5971715
1 night or over,Greece,2015,5452536
1 night or over,Greece,2016,5192322
1 night or over,Greece,2017,5917301
1 night or over,Greece,2018,6318386
1 night or over,Greece,2019,5781321
1 night or over,Greece,2020,4603998
1 night or over,Greece,2021,5053178
1 night or over,Greece,2022,6652808
1 night or over,Greece,2023,6678092
1 night or over,Hungary,2012,17558336
1 night or over,Hungary,2013,15303319
1 night or over,Hungary,2014,16560041
1 night or over,Hungary,2015,17283948
1 night or over,Hungary,2016,17389453
1 night or over,Hungary,2017,17913939
